실시간 채팅 ID,채널 ID,실시간 채팅 생성 타임스탬프,가격,동영상 ID,실시간 채팅 텍스트
UgwI7akPqu-3tUwThoJ4AaABDqgBhOO1gAI,UCzagTodi7rzdUPdJb49C24Q,2025-04-30T10:05:35.292704+00:00,0,uctkD2FWbd0,"{""text"":""캬아ㅏㅏㅏ""}"
UgwkdZZbpbtrKlxwdDV4AaABDqgBvoyqjQI,UCzagTodi7rzdUPdJb49C24Q,2025-04-30T10:03:23.788332+00:00,0,uctkD2FWbd0,"{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}},{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}},{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}}"
UgxkaIBqgHEcJ1qdOFJ4AaABDqgBn8WagQI,UCzagTodi7rzdUPdJb49C24Q,2025-04-30T10:02:16.965836+00:00,0,uctkD2FWbd0,"{""text"":""시작!!""}"
UgzciG93exvgURKt6rd4AaABDqgBzrfjkQI,UCzagTodi7rzdUPdJb49C24Q,2025-03-17T10:03:33.322203+00:00,0,GcVJf87MgbQ,"{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}},{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}}"
Ugzx8SjlBNmkERNLbVZ4AaABDqgB-7GAgQI,UCzagTodi7rzdUPdJb49C24Q,2025-03-17T10:03:20.925166+00:00,0,GcVJf87MgbQ,"{""text"":""크으""}"
UgyxEnLQtZuxn1mVOGd4AaABDqgBhNG_mAI,UCzagTodi7rzdUPdJb49C24Q,2025-02-28T04:04:11.518418+00:00,0,aCoRhvXZmxA,"{""text"":""저에게 사랑은 휴복님이죠""}"
Ugxf5iKWf2s_jZTCPWF4AaABDqgBtu-VnQI,UCzagTodi7rzdUPdJb49C24Q,2025-02-28T04:03:14.373697+00:00,0,aCoRhvXZmxA,"{""text"":""너무 감미로워ㅠㅠ""}"
Ugw5aGm5scIn5q5e-sl4AaABDqgB3YHzigI,UCzagTodi7rzdUPdJb49C24Q,2025-02-28T04:02:27.341785+00:00,0,aCoRhvXZmxA,"{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}},{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}},{""text"":"""",""emoji"":{""customEmojiUrl"":""https://yt3.googleusercontent.com/czBc0ozPoWS3-x6pCJjfAA0jyiXiTZZhfVGDifh95l_yrZM0drKFSNQZILzT9Vi-bK_KQh2hWUA""}}"
UgyqWCZmE0r-XhE57O14AaABDqgBtsCLkwI,UCzagTodi7rzdUPdJb49C24Q,2025-02-28T04:02:01.002997+00:00,0,aCoRhvXZmxA,"{""text"":""ㄷㄱㄷㄱㄷㄱ""}"
UgyA4JDcp-1fLFBJmbN4AaABDqgBkomejwI,UCzagTodi7rzdUPdJb49C24Q,2025-01-16T04:05:17.834417+00:00,0,07dy9HAtqMI,"{""text"":""ㅋㅋㅋㅋㅋㅋㅋ""}"
