재생목록 ID,상단에 새 동영상 추가,재생목록 이미지 1 생성 타임스탬프,재생목록 이미지 1 URL,재생목록 이미지 1 높이,재생목록 이미지 1 너비,재생목록 이미지 2 생성 타임스탬프,재생목록 이미지 2 URL,재생목록 이미지 2 높이,재생목록 이미지 2 너비,재생목록 제목(원본),재생목록 제목(원본) 언어,재생목록 생성 타임스탬프,재생목록 업데이트 타임스탬프,재생목록 동영상 순서,재생목록 공개 상태
PLy_G2FWPoYRRUOII3oOE1tsiqBUD94WjM,거짓,2025-05-05T06:51:50.762007577+00:00,https://yt3.googleusercontent.com/G6tOfGPF4BpzC1VJcLedwxjh5_YU_8OPC76ccEfnSUPpuqxPLzfn2yLMS1rh1XEEKmYeTzWWrvMa,1000,1000,,,,,Collaboration,,2025-05-05T06:51:49+00:00,2025-05-12T08:16:28+00:00,수동,비공개
PLy_G2FWPoYRSIhx5TAxXx7Azm0lPXE-dm,거짓,,,,,,,,,HUBOG SECHYA,,2025-05-05T02:58:00+00:00,2025-05-20T14:32:09+00:00,수동,비공개
PLy_G2FWPoYRQk2bVORZr-qp2nnQdbL78v,거짓,2025-03-15T05:11:37.363416006+00:00,https://yt3.googleusercontent.com/WTiFIBgpuUmNTXkGefJRim3RQMbAqjDuiCp29DWsAGKGtMTcUtDS0iqYzkr85rUOkpeLRxL1ZB39,1000,1000,2025-03-15T05:11:32.980308406+00:00,https://yt3.googleusercontent.com/aQAhK0ZVrKeKKplfOSh4E5To06kgN8BjrODff608zhBsWRjxIUv40J05VT_TZJgclTkgSTX2uzA,1000,1000,🌍All,,2025-03-15T05:11:20+00:00,2025-05-20T14:32:10+00:00,수동,비공개
PLy_G2FWPoYRRKz-YV3ro6LyotHchsEYLQ,거짓,2025-02-22T06:02:57.300813302+00:00,https://yt3.googleusercontent.com/J6U_bnizPw2e_fGjKaq4DzfkpCgY8P6S8qABkP1RwqA869tLrqEvG30lQ3-jHZzKWAdst51KXkA,1000,1000,,,,,YOASOBI,,2025-02-22T06:02:55+00:00,2025-02-23T15:37:52+00:00,수동,비공개
PLy_G2FWPoYRT2FlnmY2581413005lBhns,거짓,2025-04-20T14:08:51.130473307+00:00,https://yt3.googleusercontent.com/Z-w3mZKuYlg2m_EsTJ_3CyY1dW8nVXpflg0ZgM_FROEVwSnmmnbDb2SHxi2771rtyhrePpEBXZw,1000,1000,2025-05-21T22:34:44.513650952+00:00,https://yt3.googleusercontent.com/pdTm5eseO-l04BOK9FHxdJSAXTZQ4NCrlEeAZbApc5hRMI8xHaEOMWkXDEiAX0IQ8gGqygPm37dO,1000,1000,✅️-NEW,,2025-02-18T12:46:02+00:00,2025-05-21T22:34:44+00:00,수동,비공개
PLy_G2FWPoYRRPzcLY8WVdoIH3BotvimLI,거짓,2025-03-20T23:54:50.091983769+00:00,https://yt3.googleusercontent.com/VSnHkBJSzxfMC9JUdpc6kYoNw-EgOxx4uTXiOYHp8_Nqay4Oqr_uBVpIVWN3D5XYl9UOnPuJrwk,1000,1000,2025-02-16T13:13:03.869806622+00:00,https://yt3.googleusercontent.com/zr9hQtkd19gMQjPPdM0rPPv9AFeEIEcIBKghoYKTaQAPj8a-_o-nKBU5qWx7Oe9K3nuSXvaetFkR,1000,1000,🌆-Night,,2025-02-16T13:11:29+00:00,2025-03-20T23:54:50+00:00,수동,비공개
PLy_G2FWPoYRQWBKEhuiz8V2qdl-myWitu,거짓,2025-02-16T13:08:20.640083599+00:00,https://yt3.googleusercontent.com/WbwdBjBq9jTEtNwYX0kVVLOX7_Rhdis6sKsiv_ZcmwNxGgApYk6F_lYCpx1_H0FBlvIjGHEIK7Y,1000,1000,,,,,노래노래,,2025-02-16T13:04:22+00:00,2025-04-07T09:11:33+00:00,수동,비공개
PLy_G2FWPoYRRI-KiA854T3pjwjPQB8Bng,거짓,2025-02-16T12:54:47.623629297+00:00,https://yt3.googleusercontent.com/TiXSpDkTqmVmv7_wLtk0V3k5U25Pd_Hnz8kv6fCC5UTJ2WiYMMFc7ecRsJH7BAHE4ZxtPmzuS08,1000,1000,2025-02-16T12:54:57.317238426+00:00,https://yt3.googleusercontent.com/QMZ-Jk9wbN97acQcBEW2a56f4QvpmwuIwnNsbfKtJfdKzh3w1absu15-N7AVKjIEu2CtWm0_BFyB,1000,1000,🏴‍☠️-Legend,,2025-02-16T12:40:46+00:00,2025-05-20T14:32:11+00:00,수동,비공개
PLy_G2FWPoYRQNhdLNnxCvKP7kufJ8mcLl,거짓,2025-04-27T06:14:19.789446965+00:00,https://yt3.googleusercontent.com/jOpS-hHiU62U-SNrKkGrGD0OhBCagNwOc0HwRQG8o70SbgKwadcvsRSs-vIQr_AdQzO-iLBh9qY,1000,1000,2025-02-16T12:54:44.913851906+00:00,https://yt3.googleusercontent.com/yvPa_xGY_vMcQ-HQsqJnasO1CMKYh735LDwkYKB2AUyVehUD5UE1m_LnF6f4DCDDwmI9aovLiA,1000,1000,❤️-Romantic,,2025-02-16T12:28:48+00:00,2025-05-21T08:28:31+00:00,수동,비공개
PLy_G2FWPoYRQ4mTsA2FfFUmmnkq0GDlPF,거짓,,,,,,,,,Orientalism,,2025-02-16T12:26:27+00:00,2025-02-16T13:02:22+00:00,수동,비공개
PLy_G2FWPoYRTCIckAuck-nDHBTnD5EAAT,거짓,2025-02-16T12:22:07.999736643+00:00,https://yt3.googleusercontent.com/yFv4ezkmedZfwQ4cQWuPmTvclJhSkWecCZgiXI4LK8HM66J5HMfDmiyHHT7U4yH38USeReRwYQ,1000,1000,2025-03-14T19:28:26.599508182+00:00,https://yt3.googleusercontent.com/_Bg4JKz631OpSztOuZ--oEL0Ggesyz_8lL15qTQK667fIY_XWStXKaH1yOBGLbJFdQF17mri1fU,1000,1000,📣-Hope,,2025-02-16T12:19:55+00:00,2025-03-14T19:28:26+00:00,수동,비공개
PLy_G2FWPoYRSkWQVTYmHaRxwx0bv3_6oM,거짓,2025-02-16T12:54:03.2466603+00:00,https://yt3.googleusercontent.com/-2UAek7llwtw23hLih5YhBB_qxmOU-RjFKy9UfXH0tsNyYNNnzUeQVSrJU-gpEepECS0GGhKLRo,1000,1000,2025-05-11T07:18:26.819564622+00:00,https://yt3.googleusercontent.com/VURmgGHgE3Guftxu8pdu6P3v1KHT_gK1xCyl2DjM8_igfeyAz2svHb04witgpBowHi5RsyrsYA,1000,1000,🔥-UP,,2025-02-16T12:03:42+00:00,2025-05-21T08:28:39+00:00,수동,비공개
PLy_G2FWPoYRR6f7RDmw2RyJ6gZ1M_Sw99,거짓,2025-02-16T11:54:34.179422473+00:00,https://yt3.googleusercontent.com/Hr9zzhb9MzW1oOJjB-SxUfFtUaS4pP5MGx47HPRYh2S64IveoZEJ8z4Jm3w8dfnMV1zKxaK4wvs,1000,1000,,,,,back number,,2025-02-16T11:54:16+00:00,2025-02-17T09:32:17+00:00,수동,비공개
PLy_G2FWPoYRSeKRXo2ASa0OHnboDwZwH5,거짓,2025-02-16T12:01:52.139913578+00:00,https://yt3.googleusercontent.com/F66H2MCqthyZAc0zIX8vIhsMiCcsZbKbq2ZKk4fvzS0er72Khk0Nsx0y4AM8m6nzMpzj6Gzd8x7R,1000,1000,2025-02-16T11:57:28.492712871+00:00,https://yt3.googleusercontent.com/hHI_v3xPV03pvJvgWBJwnYPOv8m1sAvsmeg6czt4UzETEvQll2Oa6L2U1ou2DHtV7MMXzOnHun8,1000,1000,☁️-Soft,,2025-02-16T11:51:17+00:00,2025-02-21T19:20:45+00:00,수동,비공개
